model_name,feature_set,n_features,n_train,n_test,n_train_users,n_test_users,macro_f1,balanced_accuracy,accuracy,auroc
random_forest,allday_raw,98,5213,2927,697,697,0.5571789834849981,0.5571686927388941,0.5582507687051589,0.5785694900661632
random_forest,allday_raw_plus_prior_label_rate,99,5213,2927,697,697,0.784168985439265,0.7845405541986019,0.7844209087803211,0.8403424670353838
random_forest,history_raw,196,5213,2927,697,697,0.6397041168023425,0.6424150968116267,0.6399043389135634,0.6908576415209111
random_forest,history_raw_plus_prior_label_rate,197,5213,2927,697,697,0.7884317684504029,0.7892903600138503,0.788520669627605,0.8413784309872072
random_forest,prior_label_rate_only,1,5213,2927,697,697,0.7809503394720014,0.7819819946283351,0.7810044414075845,0.8444280674172024
