control_set,predictor,n,partial_r,bootstrap_ci_low,bootstrap_ci_high,max_stat_permutation_p
direct_core_sd,core_forecastability,518,-0.1400565666429912,-0.22155687408490124,-0.04987096465119815,0.004995004995004995
direct_core_sd,core_history_skill,518,-0.16043011693802628,-0.23490005460264654,-0.07904318106568606,0.000999000999000999
direct_core_sd_entropy,core_forecastability,518,-0.16203525152453793,-0.2474867822926638,-0.0732974959076478,0.000999000999000999
direct_core_sd_entropy,core_history_skill,518,-0.18441211531627355,-0.2709353699636852,-0.10158868694811936,0.000999000999000999
variability_pc3_plus_direct_core_sd,core_forecastability,518,-0.1494441336322914,-0.23128998864283198,-0.04954863772751002,0.000999000999000999
variability_pc3_plus_direct_core_sd,core_history_skill,518,-0.16027740902950732,-0.23181631104485706,-0.08481619328025458,0.000999000999000999
