model_name,feature_set,n_features,n_train,n_test,n_train_users,n_test_users,macro_f1,balanced_accuracy,accuracy,auroc,test_frac,seed
random_forest,allday_raw,98,6125,2015,697,697,0.550569177584047,0.5514325080314612,0.5508684863523573,0.5721590189748216,0.25,11
random_forest,allday_raw_plus_prior_label_rate,99,6125,2015,697,697,0.7829820227671034,0.7846168834765544,0.7831265508684864,0.8431703896247766,0.25,11
random_forest,history_raw,196,6125,2015,697,697,0.6412666959933562,0.6464134382566586,0.6416873449131514,0.7044625053411194,0.25,11
random_forest,history_raw_plus_prior_label_rate,197,6125,2015,697,697,0.789463619660445,0.7912512462612163,0.7895781637717122,0.85085072164459,0.25,11
random_forest,prior_label_rate_only,1,6125,2015,697,697,0.7919603557065551,0.7938367437370428,0.7920595533498759,0.8550345985851968,0.25,11
random_forest,allday_raw,98,6125,2015,697,697,0.5385486703848643,0.5392231044960357,0.5389578163771712,0.5638199488835083,0.25,42
random_forest,allday_raw_plus_prior_label_rate,99,6125,2015,697,697,0.7809599589436267,0.7824354317998385,0.7811414392059554,0.8425660518444666,0.25,42
random_forest,history_raw,196,6125,2015,697,697,0.6414753325920494,0.6457853621674658,0.6416873449131514,0.7053032371140546,0.25,42
random_forest,history_raw_plus_prior_label_rate,197,6125,2015,697,697,0.7894731654428071,0.7913140538701355,0.7895781637717122,0.8518843271771986,0.25,42
random_forest,prior_label_rate_only,1,6125,2015,697,697,0.7919603557065551,0.7938367437370428,0.7920595533498759,0.8554208406526452,0.25,42
random_forest,allday_raw,98,6125,2015,697,697,0.543998970542122,0.5446725300289608,0.5444168734491315,0.5673035457120701,0.25,73
random_forest,allday_raw_plus_prior_label_rate,99,6125,2015,697,697,0.7854112802551163,0.7868255352988653,0.7856079404466502,0.8417322437449556,0.25,73
random_forest,history_raw,196,6125,2015,697,697,0.6474668572273422,0.6516388334995016,0.6476426799007444,0.7145977741379037,0.25,73
random_forest,history_raw_plus_prior_label_rate,197,6125,2015,697,697,0.788962131101123,0.7907215852442672,0.7890818858560794,0.8510673337131464,0.25,73
random_forest,prior_label_rate_only,1,6125,2015,697,697,0.7919603557065551,0.7938367437370428,0.7920595533498759,0.8552334069220908,0.25,73
random_forest,allday_raw,98,5213,2927,697,697,0.5490374724123742,0.549105580355054,0.5497096002733174,0.5795797186894636,0.35,11
random_forest,allday_raw_plus_prior_label_rate,99,5213,2927,697,697,0.7858535648102265,0.7861724079845027,0.7861291424666894,0.8392737490290763,0.35,11
random_forest,history_raw,196,5213,2927,697,697,0.6332032651015267,0.6359255827882123,0.6334130509053638,0.6926263604630487,0.35,11
random_forest,history_raw_plus_prior_label_rate,197,5213,2927,697,697,0.7840084441393096,0.7849513836248444,0.7840792620430475,0.8409629224103242,0.35,11
random_forest,prior_label_rate_only,1,5213,2927,697,697,0.7809503394720014,0.7819819946283351,0.7810044414075845,0.8447453138306336,0.35,11
random_forest,allday_raw,98,5213,2927,697,697,0.5571789834849981,0.5571686927388941,0.5582507687051589,0.5785694900661632,0.35,42
random_forest,allday_raw_plus_prior_label_rate,99,5213,2927,697,697,0.784168985439265,0.7845405541986019,0.7844209087803211,0.8403424670353838,0.35,42
random_forest,history_raw,196,5213,2927,697,697,0.6397041168023425,0.6424150968116267,0.6399043389135634,0.6908576415209111,0.35,42
random_forest,history_raw_plus_prior_label_rate,197,5213,2927,697,697,0.7884317684504029,0.7892903600138503,0.788520669627605,0.8413784309872072,0.35,42
random_forest,prior_label_rate_only,1,5213,2927,697,697,0.7809503394720014,0.7819819946283351,0.7810044414075845,0.8444280674172024,0.35,42
random_forest,allday_raw,98,5213,2927,697,697,0.5517293745937981,0.5517223953507959,0.5527844209087803,0.5780117353098065,0.35,73
random_forest,allday_raw_plus_prior_label_rate,99,5213,2927,697,697,0.7855167169149395,0.7858460372273225,0.7857874957294158,0.8407467456507296,0.35,73
random_forest,history_raw,196,5213,2927,697,697,0.6410714636076467,0.6437846842041233,0.641270925862658,0.6934863883507867,0.35,73
