target,other_construct_priors,own_plus_other_priors,own_prior_only,lift_other_over_own,lift_other_added_to_own
feel_anxious,0.37601566510832796,0.4003072843871036,0.32918113473732824,0.046834530370999716,0.07112614964977537
feel_depressed,0.4235343080162951,0.4653860988981253,0.43409921190748246,-0.01056490389118736,0.03128688699064286
negative_affect_EMA,0.3332063586823707,0.5001137435544987,0.45971472823962745,-0.12650836955725675,0.04039901531487122
phq4,0.6232252143489816,0.6234541666697903,0.5741360673257307,0.049089147023250845,0.04931809934405951
phq4_EMA,0.6263073422735037,0.6263919306140011,0.5785975701623617,0.047709772111142024,0.04779436045163943
phq4_anxiety_EMA,0.541293153458072,0.5405807757729026,0.4775442086979309,0.06374894476014115,0.06303656707497174
phq4_depression_EMA,0.5804002430241422,0.5807213185489547,0.5356630687227748,0.044737174301367366,0.0450582498261799
positive_affect_EMA,0.069316940460599,0.5492180892055035,0.5443710311661031,-0.4750540907055041,0.0048470580394004426
pss4_EMA,0.3535052373932883,0.5742032170552324,0.5462523527177878,-0.1927471153244995,0.027950864337444536
target_dep_weekly,0.33222158609637,0.3720557281868463,0.3135919075775734,0.0186296785187966,0.05846382060927291
