regime,measure,n_trajectories,pearson_r,ci_low,ci_high
disjoint_refit,forecastability_sequence_adjusted,498,0.2218307384941114,0.1307386865282063,0.3135280394178931
disjoint_refit,combined_skill_sequence_adjusted,498,0.24569679478036252,0.1486004531653137,0.34589607142043965
expanding_refit,forecastability_sequence_adjusted,519,0.22492292578549425,0.08406010771111631,0.36783342987221823
expanding_refit,combined_skill_sequence_adjusted,519,0.21854071884303825,0.13146077781441726,0.3136402405721511
fixed_refit,forecastability_sequence_adjusted,519,0.22638428402104693,0.09400033299446785,0.3647192779378827
fixed_refit,combined_skill_sequence_adjusted,519,0.24024342395814163,0.14095776203707647,0.33766623630330367
