regime,measure,n_trajectories,same_person_mean,matched_cross_person_mean,delta,permutation_p,n_permutations
disjoint_refit,forecastability_training_adjusted,499,0.18738473964059818,0.03455473092086627,0.1528300087197319,9.999000099990002e-05,10000
disjoint_refit,combined_skill_training_adjusted,499,0.2186857132742035,0.0016991258305161772,0.21698658744368732,9.999000099990002e-05,10000
expanding_refit,forecastability_training_adjusted,521,0.18783447664703354,0.037989670352518504,0.14984480629451502,9.999000099990002e-05,10000
expanding_refit,combined_skill_training_adjusted,521,0.3132892650644229,0.0025154387234714083,0.31077382634095146,9.999000099990002e-05,10000
fixed_refit,forecastability_training_adjusted,521,0.25840565736171506,0.03907774412536996,0.2193279132363451,9.999000099990002e-05,10000
fixed_refit,combined_skill_training_adjusted,521,0.3565502249576447,0.0024082242820484957,0.3541420006755962,9.999000099990002e-05,10000
