regime,half,n_target_halves,median_test_obs,mean_test_obs,median_observed_sd,mean_marginal_entropy
disjoint_refit,early,4534,6.0,5.479047198941332,0.2040801804441698,0.5468180908097647
disjoint_refit,late,4673,6.0,5.640273913973893,0.2877604009576457,0.5921827390417141
expanding_refit,early,4829,7.0,6.450610892524332,0.2129219385364928,0.5812747690419049
expanding_refit,late,4673,6.0,6.034881232612882,0.2943121124149834,0.6045796181528418
fixed_refit,early,4829,7.0,6.450610892524332,0.2129219385364928,0.5812747690419049
fixed_refit,late,4673,6.0,6.034881232612882,0.2943121124149834,0.6045796181528418
