regime,measure,n_trajectories,pearson_r,ci_low,ci_high
disjoint_refit,lag1_history,499,0.38120798687974294,0.30570287786507705,0.44889579516544137
disjoint_refit,lag1_history_residual,499,0.2985387940720742,0.22113156937996747,0.3663123062450912
disjoint_refit,short_window_history,499,0.39279269775724573,0.3029108763701342,0.472697659862476
disjoint_refit,short_window_history_residual,499,0.3409372022254925,0.24422777477898674,0.4408679352326673
disjoint_refit,recent_history,499,0.4122572009971266,0.3222711814926918,0.4995259248326072
disjoint_refit,recent_history_residual,499,0.36256438876372493,0.2658630256101325,0.4617317890049602
disjoint_refit,long_horizon_fingerprint,499,0.4155426472952475,0.31611299284829814,0.5067591611398993
disjoint_refit,long_horizon_fingerprint_residual,499,0.3763071811215611,0.27105492759847766,0.48161717430879664
disjoint_refit,combined_own_history,499,0.44477826620766836,0.3537291150981527,0.5350574821081182
disjoint_refit,combined_own_history_residual,499,0.41384709344422566,0.31394681085012544,0.5115203598165539
disjoint_refit,cross_domain_history,499,0.41653455628309594,0.3219978124095126,0.509736313994741
disjoint_refit,cross_domain_history_residual,499,0.3922416772600803,0.2876958625392347,0.49341377437915457
disjoint_refit,cross_domain_increment,499,0.1445876335006282,0.041857926781415304,0.23367888622060945
disjoint_refit,cross_domain_increment_residual,499,0.12558355160826573,0.02717631380701497,0.22595243775218446
disjoint_refit,forecastability,499,0.32249238447384637,0.219993012846464,0.41573720763120314
disjoint_refit,forecastability_residual,499,0.2326452117606382,0.1418344319142169,0.33436383377005297
expanding_refit,lag1_history,521,0.42517157562194136,0.34512948360393847,0.4931347448353792
expanding_refit,lag1_history_residual,521,0.21805958465642322,0.13303525524328885,0.2968798598346468
expanding_refit,short_window_history,521,0.47708173738626786,0.40009293950021096,0.5524434255236627
expanding_refit,short_window_history_residual,521,0.345404793206798,0.26000480365218953,0.4282666983212764
expanding_refit,recent_history,521,0.48163415013933797,0.4022077983835505,0.5603589767800327
expanding_refit,recent_history_residual,521,0.347537620355703,0.26222749642249676,0.4342009035028613
expanding_refit,long_horizon_fingerprint,521,0.45948298475847227,0.3852704289448636,0.5338230706475888
expanding_refit,long_horizon_fingerprint_residual,521,0.33197220142970757,0.23722849553817482,0.42034888993325487
expanding_refit,combined_own_history,521,0.4732596035172849,0.3994855619253695,0.5420744145491194
expanding_refit,combined_own_history_residual,521,0.33555116802990526,0.24720585926874725,0.4192704041844217
expanding_refit,cross_domain_history,521,0.49074779421634945,0.41804235642964954,0.5545637004997295
expanding_refit,cross_domain_history_residual,521,0.3769157973104348,0.2961247780145826,0.45775092013943103
expanding_refit,cross_domain_increment,521,0.11981458996284863,-0.0040349039783862265,0.2937439736206429
expanding_refit,cross_domain_increment_residual,521,0.11557762673341397,-0.0017284396289672132,0.28587685120331136
expanding_refit,forecastability,521,0.40715833964292447,0.30697046107287224,0.49911000544809275
expanding_refit,forecastability_residual,521,0.2203062351150485,0.07132953212973844,0.359575708688031
fixed_refit,lag1_history,521,0.4154986173988979,0.34389457193953715,0.4883149135845154
fixed_refit,lag1_history_residual,521,0.21878927335305517,0.13176069042259606,0.3093773484618992
fixed_refit,short_window_history,521,0.48987885666872194,0.4099133249864702,0.5648578327580347
fixed_refit,short_window_history_residual,521,0.36215254927950646,0.2728914694792116,0.4527173512205083
fixed_refit,recent_history,521,0.49349895929268583,0.41726518496383114,0.5679283989493458
fixed_refit,recent_history_residual,521,0.36418960296525593,0.2801152634383948,0.44404418284566777
fixed_refit,long_horizon_fingerprint,521,0.4650251654410889,0.3841986603050934,0.5434321317455427
fixed_refit,long_horizon_fingerprint_residual,521,0.33968327464001785,0.25242771103467543,0.4311010167769381
fixed_refit,combined_own_history,521,0.4840844159391308,0.40771911012923595,0.5588825521587434
fixed_refit,combined_own_history_residual,521,0.34864740460652527,0.2598027926131047,0.4400099189076096
fixed_refit,cross_domain_history,521,0.5030301039796254,0.43732160804745646,0.5712893787722985
fixed_refit,cross_domain_history_residual,521,0.39034067370079706,0.31350770187894533,0.47088792538217006
fixed_refit,cross_domain_increment,521,0.14095419646513105,0.029049037615305102,0.30236480952317457
fixed_refit,cross_domain_increment_residual,521,0.1381926136465833,0.026051924433504386,0.2928870786648499
fixed_refit,forecastability,521,0.4093794010335108,0.3087791408834556,0.5018017615883799
fixed_refit,forecastability_residual,521,0.2222751878511949,0.0845956259797081,0.359780938995037
