regime,k,median_adjusted_rand_index,median_assignment_accuracy,median_silhouette,successful_cohorts,minimum_prevalence_across_folds
fixed_original,2,0.06093127390667781,0.628210209258085,0.27979821042728453,0,0.39759036144578314
fixed_original,3,0.0657315143648102,0.5143756845564074,0.25823101964852657,0,0.2159090909090909
fixed_original,4,0.04738012885200657,0.41183865898376115,0.2531235254195132,0,0.125
fixed_original,5,0.03368732457698835,0.32985890932149653,0.2437264572070097,0,0.125
disjoint_refit,2,0.05683362787395671,0.6180517336268574,0.3153209241567022,0,0.37142857142857144
disjoint_refit,3,0.028163562734201487,0.4403726708074534,0.24907895118972118,0,0.22142857142857142
disjoint_refit,4,0.038893551311092726,0.38649068322981367,0.2260298638127054,0,0.16455696202531644
disjoint_refit,5,0.050610078835610625,0.3080368906455863,0.24066878471396588,0,0.1
