regime,measure,n_trajectories,same_person_mean,matched_cross_person_mean,delta,permutation_p,n_permutations
disjoint_refit,forecastability_sequence_adjusted,425,0.2296364776460172,0.019931132216576858,0.20970534542944033,9.999000099990002e-05,10000
disjoint_refit,combined_skill_sequence_adjusted,425,0.20656219380759258,0.004259132770478642,0.20230306103711393,9.999000099990002e-05,10000
expanding_refit,forecastability_sequence_adjusted,439,0.21964505159803172,0.015541086426258493,0.20410396517177323,9.999000099990002e-05,10000
expanding_refit,combined_skill_sequence_adjusted,439,0.31463426804090755,0.0066170547118156705,0.3080172133290919,9.999000099990002e-05,10000
fixed_refit,forecastability_sequence_adjusted,439,0.22159670691598948,0.015261728325061825,0.20633497859092767,9.999000099990002e-05,10000
fixed_refit,combined_skill_sequence_adjusted,439,0.32085485246241485,0.006488024348179573,0.3143668281142353,9.999000099990002e-05,10000
