regime,target_name,half,model,n_train_rows,n_features,coefficient_l2_norm
disjoint_refit,screen_unlock_count,early,combined_own_history,8571,8,0.44945282901904116
disjoint_refit,screen_unlock_count,early,cross_domain_history,8571,29,0.5954239414160242
disjoint_refit,screen_unlock_count,late,calendar,8778,3,0.04725922311097918
disjoint_refit,screen_unlock_count,late,lag1_history,8778,4,0.4714364092840474
disjoint_refit,screen_unlock_count,late,short_window_history,8778,5,0.5281350859437051
disjoint_refit,screen_unlock_count,late,recent_history,8778,6,0.5191079822067841
disjoint_refit,screen_unlock_count,late,long_horizon_fingerprint,8778,5,0.5174513610639844
disjoint_refit,screen_unlock_count,late,combined_own_history,8778,8,0.4068369526059979
disjoint_refit,screen_unlock_count,late,cross_domain_history,8778,29,0.6549769591931625
fixed_refit,screen_unlock_duration,early,calendar,16217,3,0.0451693463975186
fixed_refit,screen_unlock_duration,early,lag1_history,16217,4,0.33910382828775515
fixed_refit,screen_unlock_duration,early,short_window_history,16217,5,0.35577543207439916
fixed_refit,screen_unlock_duration,early,recent_history,16217,6,0.33549847694859347
fixed_refit,screen_unlock_duration,early,long_horizon_fingerprint,16217,5,0.44742933159322595
fixed_refit,screen_unlock_duration,early,combined_own_history,16217,8,0.2868249731694454
fixed_refit,screen_unlock_duration,early,cross_domain_history,16217,29,0.4503697705796468
fixed_refit,screen_unlock_duration,late,calendar,16217,3,0.0451693463975186
fixed_refit,screen_unlock_duration,late,lag1_history,16217,4,0.33910382828775515
fixed_refit,screen_unlock_duration,late,short_window_history,16217,5,0.35577543207439916
fixed_refit,screen_unlock_duration,late,recent_history,16217,6,0.33549847694859347
fixed_refit,screen_unlock_duration,late,long_horizon_fingerprint,16217,5,0.44742933159322595
fixed_refit,screen_unlock_duration,late,combined_own_history,16217,8,0.2868249731694454
fixed_refit,screen_unlock_duration,late,cross_domain_history,16217,29,0.4503697705796468
expanding_refit,screen_unlock_duration,early,calendar,16217,3,0.0451693463975186
expanding_refit,screen_unlock_duration,early,lag1_history,16217,4,0.33910382828775515
expanding_refit,screen_unlock_duration,early,short_window_history,16217,5,0.35577543207439916
expanding_refit,screen_unlock_duration,early,recent_history,16217,6,0.33549847694859347
expanding_refit,screen_unlock_duration,early,long_horizon_fingerprint,16217,5,0.44742933159322595
expanding_refit,screen_unlock_duration,early,combined_own_history,16217,8,0.2868249731694454
expanding_refit,screen_unlock_duration,early,cross_domain_history,16217,29,0.4503697705796468
expanding_refit,screen_unlock_duration,late,calendar,20988,3,0.04016980881231998
expanding_refit,screen_unlock_duration,late,lag1_history,20988,4,0.3361187702844303
expanding_refit,screen_unlock_duration,late,short_window_history,20988,5,0.35253679957791845
expanding_refit,screen_unlock_duration,late,recent_history,20988,6,0.33418423125681224
expanding_refit,screen_unlock_duration,late,long_horizon_fingerprint,20988,5,0.4453497112281748
expanding_refit,screen_unlock_duration,late,combined_own_history,20988,8,0.2825309344802575
expanding_refit,screen_unlock_duration,late,cross_domain_history,20988,29,0.6135139833571999
disjoint_refit,screen_unlock_duration,early,calendar,8571,3,0.05961749452075859
disjoint_refit,screen_unlock_duration,early,lag1_history,8571,4,0.3392671581572661
disjoint_refit,screen_unlock_duration,early,short_window_history,8571,5,0.3550922753161048
disjoint_refit,screen_unlock_duration,early,recent_history,8571,6,0.3310053110527291
disjoint_refit,screen_unlock_duration,early,long_horizon_fingerprint,8571,5,0.4346223483282572
disjoint_refit,screen_unlock_duration,early,combined_own_history,8571,8,0.277554851367526
disjoint_refit,screen_unlock_duration,early,cross_domain_history,8571,29,0.3187152638910209
disjoint_refit,screen_unlock_duration,late,calendar,8778,3,0.06421251978938801
disjoint_refit,screen_unlock_duration,late,lag1_history,8778,4,0.33509474109403065
disjoint_refit,screen_unlock_duration,late,short_window_history,8778,5,0.35114158504726134
disjoint_refit,screen_unlock_duration,late,recent_history,8778,6,0.33747513282702873
disjoint_refit,screen_unlock_duration,late,long_horizon_fingerprint,8778,5,0.4447470465220798
disjoint_refit,screen_unlock_duration,late,combined_own_history,8778,8,0.2805216044581539
disjoint_refit,screen_unlock_duration,late,cross_domain_history,8778,29,0.6902273361896684
fixed_refit,sedentary_duration,early,calendar,13101,3,0.0190959538119902
fixed_refit,sedentary_duration,early,lag1_history,13101,4,0.03919878126768717
fixed_refit,sedentary_duration,early,short_window_history,13101,5,0.04418700134764781
fixed_refit,sedentary_duration,early,recent_history,13101,6,0.04400062641961716
fixed_refit,sedentary_duration,early,long_horizon_fingerprint,13101,5,0.04953752393940182
fixed_refit,sedentary_duration,early,combined_own_history,13101,8,0.038393988243962195
fixed_refit,sedentary_duration,early,cross_domain_history,13101,29,0.05283028071815729
fixed_refit,sedentary_duration,late,calendar,13101,3,0.0190959538119902
fixed_refit,sedentary_duration,late,lag1_history,13101,4,0.03919878126768717
fixed_refit,sedentary_duration,late,short_window_history,13101,5,0.04418700134764781
fixed_refit,sedentary_duration,late,recent_history,13101,6,0.04400062641961716
fixed_refit,sedentary_duration,late,long_horizon_fingerprint,13101,5,0.04953752393940182
fixed_refit,sedentary_duration,late,combined_own_history,13101,8,0.038393988243962195
fixed_refit,sedentary_duration,late,cross_domain_history,13101,29,0.05283028071815729
expanding_refit,sedentary_duration,early,calendar,13101,3,0.0190959538119902
expanding_refit,sedentary_duration,early,lag1_history,13101,4,0.03919878126768717
expanding_refit,sedentary_duration,early,short_window_history,13101,5,0.04418700134764781
expanding_refit,sedentary_duration,early,recent_history,13101,6,0.04400062641961716
expanding_refit,sedentary_duration,early,long_horizon_fingerprint,13101,5,0.04953752393940182
expanding_refit,sedentary_duration,early,combined_own_history,13101,8,0.038393988243962195
expanding_refit,sedentary_duration,early,cross_domain_history,13101,29,0.05283028071815729
