regime,measure,n_trajectories,same_person_mean,matched_cross_person_mean,delta,permutation_p,n_permutations
disjoint_refit,lag1_history,499,0.2671763814937961,0.01787661733538407,0.249299764158412,0.001996007984031936,500
disjoint_refit,lag1_history_residual,499,0.16537024665896416,0.0035958116156810517,0.16177443504328312,0.001996007984031936,500
disjoint_refit,short_window_history,499,0.3446214568073971,0.032010378873728956,0.31261107793366816,0.001996007984031936,500
disjoint_refit,short_window_history_residual,499,0.24794220772205627,0.0059796436008547,0.24196256412120157,0.001996007984031936,500
disjoint_refit,recent_history,499,0.353268424813077,0.03061580958673021,0.3226526152263468,0.001996007984031936,500
disjoint_refit,recent_history_residual,499,0.25399473249223137,0.0073496150718034385,0.24664511742042794,0.001996007984031936,500
disjoint_refit,long_horizon_fingerprint,499,0.3602153495994936,0.03058256676154158,0.329632782837952,0.001996007984031936,500
disjoint_refit,long_horizon_fingerprint_residual,499,0.26094051930129775,0.009383499605006609,0.25155701969629113,0.001996007984031936,500
disjoint_refit,combined_own_history,499,0.36385204217934836,0.031886143508132965,0.3319658986712154,0.001996007984031936,500
disjoint_refit,combined_own_history_residual,499,0.26116041796155554,0.00752599827245009,0.25363441968910544,0.001996007984031936,500
disjoint_refit,cross_domain_history,499,0.353202097306036,0.027315014398075505,0.32588708290796053,0.001996007984031936,500
disjoint_refit,cross_domain_history_residual,499,0.2557421943095767,0.009502306127177642,0.24623988818239903,0.001996007984031936,500
disjoint_refit,cross_domain_increment,499,0.07434614089948062,0.011476927199998876,0.06286921369948174,0.001996007984031936,500
disjoint_refit,cross_domain_increment_residual,499,0.06513144633758387,0.00585258583790008,0.0592788604996838,0.001996007984031936,500
disjoint_refit,forecastability,499,0.3410875815188432,0.07675071610556632,0.2643368654132769,0.001996007984031936,500
disjoint_refit,forecastability_residual,499,0.1740215868325551,0.011676132786229414,0.16234545404632567,0.001996007984031936,500
expanding_refit,lag1_history,521,0.3409781004757453,0.015622284209267732,0.3253558162664775,0.001996007984031936,500
expanding_refit,lag1_history_residual,521,0.20960607664146336,0.0065516397693653325,0.20305443687209804,0.001996007984031936,500
expanding_refit,short_window_history,521,0.482199102570695,0.02776512488209657,0.4544339776885984,0.001996007984031936,500
expanding_refit,short_window_history_residual,521,0.37491603291070075,0.008084720441976532,0.3668313124687242,0.001996007984031936,500
expanding_refit,recent_history,521,0.4861297451716946,0.027209275607839097,0.4589204695638555,0.001996007984031936,500
expanding_refit,recent_history_residual,521,0.38038514340519075,0.009142513587241361,0.37124262981794937,0.001996007984031936,500
expanding_refit,long_horizon_fingerprint,521,0.4807577598692892,0.03406706062985622,0.446690699239433,0.001996007984031936,500
expanding_refit,long_horizon_fingerprint_residual,521,0.37206002918933123,0.009804328562904096,0.36225570062642715,0.001996007984031936,500
expanding_refit,combined_own_history,521,0.48618479061130837,0.03236334218005065,0.4538214484312577,0.001996007984031936,500
expanding_refit,combined_own_history_residual,521,0.36878329102782104,0.008099331213718015,0.360683959814103,0.001996007984031936,500
expanding_refit,cross_domain_history,521,0.4762140618691586,0.026533160517980187,0.44968090135117844,0.001996007984031936,500
expanding_refit,cross_domain_history_residual,521,0.3651432439772153,0.01141022207570632,0.353733021901509,0.001996007984031936,500
expanding_refit,cross_domain_increment,521,0.13013860130117064,0.014064015584327651,0.11607458571684298,0.001996007984031936,500
expanding_refit,cross_domain_increment_residual,521,0.12987074255416153,0.00522683877201402,0.12464390378214751,0.001996007984031936,500
expanding_refit,forecastability,521,0.34912408988845756,0.0690541145600533,0.2800699753284043,0.001996007984031936,500
expanding_refit,forecastability_residual,521,0.18378541259379172,0.012792327304138639,0.17099308528965307,0.001996007984031936,500
fixed_refit,lag1_history,521,0.3398172670888838,0.01634550624464686,0.32347176084423696,0.001996007984031936,500
fixed_refit,lag1_history_residual,521,0.21149637506528318,0.005634543779059779,0.2058618312862234,0.001996007984031936,500
fixed_refit,short_window_history,521,0.48276163917930937,0.0301217976175098,0.4526398415617996,0.001996007984031936,500
fixed_refit,short_window_history_residual,521,0.3761806445137365,0.008315904422742246,0.36786474009099424,0.001996007984031936,500
fixed_refit,recent_history,521,0.4864636071601703,0.029286769136721753,0.45717683802344855,0.001996007984031936,500
fixed_refit,recent_history_residual,521,0.3815148265283188,0.008231184611326938,0.37328364191699187,0.001996007984031936,500
fixed_refit,long_horizon_fingerprint,521,0.48319431947033736,0.03745382073202883,0.4457404987383085,0.001996007984031936,500
fixed_refit,long_horizon_fingerprint_residual,521,0.3734877936318196,0.011327118494366505,0.3621606751374531,0.001996007984031936,500
fixed_refit,combined_own_history,521,0.48868240796701734,0.036031878789077425,0.4526505291779399,0.001996007984031936,500
fixed_refit,combined_own_history_residual,521,0.3714269259279716,0.01126300553990135,0.36016392038807027,0.001996007984031936,500
fixed_refit,cross_domain_history,521,0.4803378587335936,0.029824702551592485,0.4505131561820011,0.001996007984031936,500
fixed_refit,cross_domain_history_residual,521,0.3725388339217104,0.01118221374150519,0.3613566201802052,0.001996007984031936,500
fixed_refit,cross_domain_increment,521,0.14039428284103225,0.01468088799503436,0.1257133948459979,0.001996007984031936,500
fixed_refit,cross_domain_increment_residual,521,0.13962411090312402,0.003714075440269115,0.1359100354628549,0.001996007984031936,500
fixed_refit,forecastability,521,0.3494330277082993,0.06949651730184607,0.27993651040645323,0.001996007984031936,500
fixed_refit,forecastability_residual,521,0.1889952731315143,0.013335568938907697,0.1756597041926066,0.001996007984031936,500
