regime,target_name,n_rows,mae__calendar,mae__lag1_history,mae__short_window_history,mae__recent_history,mae__long_horizon_fingerprint,mae__combined_own_history,mae__cross_domain_history,cross_domain_relative_mae_gain
disjoint_refit,active_duration,6575,0.5932620764622529,0.5190347993572777,0.4500678089967001,0.44955042202127377,0.44361705742019986,0.44258841520399234,0.44440549964641557,-0.0041055851893134765
disjoint_refit,screen_unlock_count,8057,0.6247357253728528,0.4936008479374249,0.456368028679979,0.4544776522680971,0.45771169907881826,0.4529733873122076,0.45229999656778136,0.0014866011189352824
disjoint_refit,screen_unlock_duration,8057,0.5799891705154152,0.49946470999664716,0.4497365226490579,0.44953550336715387,0.45403831058247923,0.4484532243571627,0.45016137763908687,-0.003808988739846253
disjoint_refit,sedentary_duration,6576,0.05577431637648318,0.04965053873398229,0.04380730509905637,0.04377268536001696,0.04352682565733351,0.043378700067984825,0.04330242875635815,0.00175826641893706
disjoint_refit,sleep_duration,6109,0.33491747074882383,0.3302376751305671,0.31852344397764687,0.31852830862556614,0.31782109192917907,0.3181584643893879,0.32200783041493164,-0.012098895539150556
disjoint_refit,sleep_efficiency,6045,0.029890646245453054,0.02734964750800338,0.02326502111714009,0.023253105204492936,0.02257140073759729,0.022539157328990773,0.022649667633863967,-0.004903036225362811
disjoint_refit,sleep_in_bed,6109,0.33206457430438274,0.32842424213219956,0.31814241210553185,0.3181480749515001,0.3183889904862698,0.3186207622143194,0.3221892817132403,-0.0111998963097093
disjoint_refit,steps_sum,6578,0.8055252530797086,0.6835852050885087,0.5806105512174197,0.5802268781246951,0.5722443704193665,0.5713452587937435,0.5715824467746564,-0.000415139492736305
expanding_refit,active_duration,7492,0.5927851048344394,0.5229478649774052,0.46787824875497336,0.4675634560303239,0.4620597070220459,0.46062520303385174,0.4604398684797974,0.0004023543497699844
expanding_refit,screen_unlock_count,9189,0.6307305119065446,0.4924132321634175,0.45761112423873174,0.4546945753578038,0.46089256367710973,0.4543009646823496,0.45468662798313636,-0.0008489158746480818
expanding_refit,screen_unlock_duration,9189,0.5648880088622119,0.4890321043655005,0.44619981367902684,0.44495474510352706,0.45027247933915315,0.4436858435878008,0.4434941220556922,0.0004321109967319048
expanding_refit,sedentary_duration,7492,0.05695089104494143,0.050523940138515834,0.045143094574996545,0.04510891716840354,0.04464476275773375,0.044514358351006734,0.04448717480975321,0.0006106690573672857
expanding_refit,sleep_duration,6899,0.31650034312774605,0.31210343079875474,0.299855746549171,0.299854309495684,0.299453482591351,0.299752015335833,0.3055236703462404,-0.01925476632389267
expanding_refit,sleep_efficiency,6822,0.029371659476786764,0.026544663615974542,0.022566215297726788,0.0225457468924596,0.02228249352890246,0.022152710001088823,0.022190914333671097,-0.0017245895685176205
expanding_refit,sleep_in_bed,6899,0.31337476842375445,0.3100447763577743,0.2996637864163595,0.2996663216515586,0.2998097203885269,0.3001279419728599,0.3059806752432271,-0.0195007943342258
expanding_refit,steps_sum,7492,0.7948087146306576,0.6831012788406663,0.6037872705854394,0.6031588697873047,0.5964460477668974,0.5947393075356987,0.5919698080292493,0.004656661282276486
fixed_refit,active_duration,7492,0.6006823754422935,0.5257019069430865,0.46930369101414215,0.4690706422415308,0.46337365452280094,0.46189476707330074,0.4615472865325168,0.0007522937377828498
fixed_refit,screen_unlock_count,9189,0.6308589612262503,0.49245964459716635,0.45733038309741236,0.45433987496852235,0.4609708836246415,0.45427480591621117,0.45483566906419176,-0.0012346340599924677
fixed_refit,screen_unlock_duration,9189,0.5652167622899275,0.4890807203579582,0.44610190696946533,0.44489256797829185,0.449982513530073,0.44352819875702226,0.44332504637085796,0.00045803713660963474
fixed_refit,sedentary_duration,7492,0.05687533586272425,0.05037568574825494,0.04501964096265879,0.045000225009794934,0.044567226089064264,0.04443477401276178,0.044423076901480424,0.00026324228132668104
fixed_refit,sleep_duration,6899,0.31707037988227177,0.31327452838227177,0.30143296143087756,0.30143912897627434,0.30105891779518246,0.3014289260180974,0.3072762260409848,-0.019398602848541335
fixed_refit,sleep_efficiency,6822,0.02927046055507427,0.026555555001695843,0.022586988911269472,0.02256500293074023,0.022286452986427795,0.02216566200560525,0.02223793823640381,-0.0032607296267659347
fixed_refit,sleep_in_bed,6899,0.31438152016562854,0.3114764613850631,0.3012684649600748,0.301249784448158,0.30158208397176245,0.30197701954104184,0.3078928166930018,-0.019590222994289475
fixed_refit,steps_sum,7492,0.8084561706137072,0.6870775530897671,0.6063098863352296,0.6056497921022574,0.5984928765202728,0.5965751906044164,0.5939980828847674,0.004319837231310353
