target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,r2,mae_log,pearson_r
screen_unlock_count,next_week,evening,history_fingerprint_plus_today,15044,8576,695,695,0.6560383783416385,0.24517733117796522,0.8110795227409447
screen_unlock_duration,tomorrow,morning,calendar_only,16216,9187,695,695,-0.026420401398877136,0.5652865235582755,-0.021057738422665503
screen_unlock_duration,tomorrow,morning,recent_history_only,16216,9187,695,695,0.25248210906926116,0.44493326838689706,0.5115916949497383
screen_unlock_duration,tomorrow,morning,fingerprint_42d_only,16216,9187,695,695,0.2358482219967768,0.4500219006332833,0.4956673877341301
screen_unlock_duration,tomorrow,morning,today_partial_only,16216,9187,695,695,-0.018208370465598422,0.5563383207699392,0.10335041817129753
screen_unlock_duration,tomorrow,morning,history_plus_fingerprint,16216,9187,695,695,0.25657183610431455,0.4435659525186153,0.51483540529785
screen_unlock_duration,tomorrow,morning,history_fingerprint_plus_today,16216,9187,695,695,0.2562040301271413,0.4435129029124426,0.5145372459834694
screen_unlock_duration,tomorrow,afternoon,calendar_only,16216,9187,695,695,-0.026420401398877136,0.5652865235582755,-0.021057738422665503
screen_unlock_duration,tomorrow,afternoon,recent_history_only,16216,9187,695,695,0.25248210906926116,0.44493326838689706,0.5115916949497383
screen_unlock_duration,tomorrow,afternoon,fingerprint_42d_only,16216,9187,695,695,0.2358482219967768,0.4500219006332833,0.4956673877341301
screen_unlock_duration,tomorrow,afternoon,today_partial_only,16216,9187,695,695,0.04249900342957402,0.5258034575391163,0.25698638871702495
screen_unlock_duration,tomorrow,afternoon,history_plus_fingerprint,16216,9187,695,695,0.25657183610431455,0.4435659525186153,0.51483540529785
screen_unlock_duration,tomorrow,afternoon,history_fingerprint_plus_today,16216,9187,695,695,0.25705979904230836,0.4427274930861326,0.5152881062595703
screen_unlock_duration,tomorrow,evening,calendar_only,16216,9187,695,695,-0.026420401398877136,0.5652865235582755,-0.021057738422665503
screen_unlock_duration,tomorrow,evening,recent_history_only,16216,9187,695,695,0.25248210906926116,0.44493326838689706,0.5115916949497383
screen_unlock_duration,tomorrow,evening,fingerprint_42d_only,16216,9187,695,695,0.2358482219967768,0.4500219006332833,0.4956673877341301
screen_unlock_duration,tomorrow,evening,today_partial_only,16216,9187,695,695,0.07295199041853762,0.505885633890474,0.31021221087859246
screen_unlock_duration,tomorrow,evening,history_plus_fingerprint,16216,9187,695,695,0.25657183610431455,0.4435659525186153,0.51483540529785
screen_unlock_duration,tomorrow,evening,history_fingerprint_plus_today,16216,9187,695,695,0.25842246550929127,0.4408823702268508,0.5169121411535184
screen_unlock_duration,next_week,morning,calendar_only,15044,8576,695,695,-0.01622986726019593,0.3824972677554868,0.004706631329028311
screen_unlock_duration,next_week,morning,recent_history_only,15044,8576,695,695,0.6025152677800364,0.2209135333187868,0.776810750453768
screen_unlock_duration,next_week,morning,fingerprint_42d_only,15044,8576,695,695,0.5828282023381753,0.22462397763837855,0.7648941087665868
screen_unlock_duration,next_week,morning,today_partial_only,15044,8576,695,695,0.024040239104690553,0.36876176393381105,0.2162947908390335
screen_unlock_duration,next_week,morning,history_plus_fingerprint,15044,8576,695,695,0.6075486743402811,0.2183316241170393,0.7803315892097648
screen_unlock_duration,next_week,morning,history_fingerprint_plus_today,15044,8576,695,695,0.6081314945804726,0.21820241060840487,0.7807535615829518
screen_unlock_duration,next_week,afternoon,calendar_only,15044,8576,695,695,-0.01622986726019593,0.3824972677554868,0.004706631329028311
screen_unlock_duration,next_week,afternoon,recent_history_only,15044,8576,695,695,0.6025152677800364,0.2209135333187868,0.776810750453768
screen_unlock_duration,next_week,afternoon,fingerprint_42d_only,15044,8576,695,695,0.5828282023381753,0.22462397763837855,0.7648941087665868
screen_unlock_duration,next_week,afternoon,today_partial_only,15044,8576,695,695,0.14803034083512567,0.33466806715957254,0.41466642273208926
screen_unlock_duration,next_week,afternoon,history_plus_fingerprint,15044,8576,695,695,0.6075486743402811,0.2183316241170393,0.7803315892097648
screen_unlock_duration,next_week,afternoon,history_fingerprint_plus_today,15044,8576,695,695,0.610484396020222,0.21720821175079275,0.7823136367144135
screen_unlock_duration,next_week,evening,calendar_only,15044,8576,695,695,-0.01622986726019593,0.3824972677554868,0.004706631329028311
screen_unlock_duration,next_week,evening,recent_history_only,15044,8576,695,695,0.6025152677800364,0.2209135333187868,0.776810750453768
screen_unlock_duration,next_week,evening,fingerprint_42d_only,15044,8576,695,695,0.5828282023381753,0.22462397763837855,0.7648941087665868
screen_unlock_duration,next_week,evening,today_partial_only,15044,8576,695,695,0.2048686452673779,0.3167285293865303,0.4777360581380129
screen_unlock_duration,next_week,evening,history_plus_fingerprint,15044,8576,695,695,0.6075486743402811,0.2183316241170393,0.7803315892097648
screen_unlock_duration,next_week,evening,history_fingerprint_plus_today,15044,8576,695,695,0.6130440965323072,0.21622286893348533,0.7839999872053548
