target,horizon,issue_time,model,n_train,n_test,n_train_users,n_test_users,positive_rate_test,auroc,macro_f1,balanced_accuracy,accuracy
screen_unlock_count,tomorrow,morning,calendar_only,16216,9187,695,695,0.4582562316316534,0.5410589423939194,0.520424482594257,0.5248831322420426,0.5365189942309786
screen_unlock_count,tomorrow,morning,recent_history_only,16216,9187,695,695,0.4582562316316534,0.868912412775728,0.7854623460302894,0.7848081937005236,0.7875258517470338
screen_unlock_count,tomorrow,morning,fingerprint_42d_only,16216,9187,695,695,0.4582562316316534,0.8665483552130775,0.7841516033749109,0.7839878166406324,0.7857842603679112
screen_unlock_count,tomorrow,morning,today_partial_only,16216,9187,695,695,0.4582562316316534,0.6932652195348007,0.6468940988023573,0.6473602323657948,0.6569064983128333
screen_unlock_count,tomorrow,morning,history_plus_fingerprint,16216,9187,695,695,0.4582562316316534,0.8736495718786228,0.7901879520914463,0.7900257097136137,0.7917709807336454
screen_unlock_count,tomorrow,morning,history_fingerprint_plus_today,16216,9187,695,695,0.4582562316316534,0.8742237093480366,0.7912497162092313,0.7911861069232007,0.7927506258844019
screen_unlock_count,tomorrow,afternoon,calendar_only,16216,9187,695,695,0.4582562316316534,0.5410589423939194,0.520424482594257,0.5248831322420426,0.5365189942309786
screen_unlock_count,tomorrow,afternoon,recent_history_only,16216,9187,695,695,0.4582562316316534,0.868912412775728,0.7854623460302894,0.7848081937005236,0.7875258517470338
screen_unlock_count,tomorrow,afternoon,fingerprint_42d_only,16216,9187,695,695,0.4582562316316534,0.8665483552130775,0.7841516033749109,0.7839878166406324,0.7857842603679112
screen_unlock_count,tomorrow,afternoon,today_partial_only,16216,9187,695,695,0.4582562316316534,0.8063869333375332,0.7390973553230731,0.7382206367819284,0.7422444758898443
screen_unlock_count,tomorrow,afternoon,history_plus_fingerprint,16216,9187,695,695,0.4582562316316534,0.8736495718786228,0.7901879520914463,0.7900257097136137,0.7917709807336454
screen_unlock_count,tomorrow,afternoon,history_fingerprint_plus_today,16216,9187,695,695,0.4582562316316534,0.8780730552942586,0.7966929126888231,0.7967310435604732,0.7980842494829651
screen_unlock_count,tomorrow,evening,calendar_only,16216,9187,695,695,0.4582562316316534,0.5410589423939194,0.520424482594257,0.5248831322420426,0.5365189942309786
