target,horizon,issue_time,calendar_only,fingerprint_42d_only,history_fingerprint_plus_today,history_plus_fingerprint,recent_history_only,today_partial_only,lift_today_over_history_fingerprint,lift_history_fingerprint_over_calendar
active_duration,next_week,afternoon,0.6008361929751218,0.8974765062593226,0.9017991452714638,0.9009182908950367,0.8927056753861867,0.7551317013070726,0.0008808543764270427,0.3000820979199149
active_duration,next_week,evening,0.6008361929751218,0.8974765062593226,0.9025007062945669,0.9009182908950367,0.8927056753861867,0.7895680250940936,0.0015824153995301904,0.3000820979199149
active_duration,next_week,morning,0.6008361929751218,0.8974765062593226,0.9011242415741675,0.9009182908950367,0.8927056753861867,0.6910304659185675,0.00020595067913076193,0.3000820979199149
active_duration,tomorrow,afternoon,0.5709423369295905,0.8026978792175675,0.8080578094712784,0.8051553121641108,0.796744231963027,0.7186269657247544,0.0029024973071675175,0.23421297523452034
active_duration,tomorrow,evening,0.5709423369295905,0.8026978792175675,0.8112703363531372,0.8051553121641108,0.796744231963027,0.7526378248376508,0.006115024189026319,0.23421297523452034
active_duration,tomorrow,morning,0.5709423369295905,0.8026978792175675,0.8057835920654159,0.8051553121641108,0.796744231963027,0.6620881367544242,0.0006282799013050955,0.23421297523452034
bluetooth_unique_devices,next_week,afternoon,0.5137104450571681,0.9471128160953622,0.9346405987200828,0.9361535132766856,0.9308623392723466,0.8538711848734711,-0.0015129145566028512,0.4224430682195175
bluetooth_unique_devices,next_week,evening,0.5137104450571681,0.9471128160953622,0.9352997025781513,0.9361535132766856,0.9308623392723466,0.8701291567428527,-0.0008538106985342964,0.4224430682195175
bluetooth_unique_devices,next_week,morning,0.5137104450571681,0.9471128160953622,0.9360061764441739,0.9361535132766856,0.9308623392723466,0.796010215879689,-0.00014733683251166863,0.4224430682195175
bluetooth_unique_devices,tomorrow,afternoon,0.5576482222690353,0.881329436135103,0.8829367378227185,0.882309499566978,0.8758252580577206,0.834345844158884,0.0006272382557405143,0.3246612772979427
bluetooth_unique_devices,tomorrow,evening,0.5576482222690353,0.881329436135103,0.8816326393277626,0.882309499566978,0.8758252580577206,0.8479484118624628,-0.0006768602392154266,0.3246612772979427
bluetooth_unique_devices,tomorrow,morning,0.5576482222690353,0.881329436135103,0.8833453584720173,0.882309499566978,0.8758252580577206,0.7863295239098378,0.0010358589050393219,0.3246612772979427
incoming_call_count,next_week,afternoon,0.5425543823080923,0.8393659967085431,0.8449499289391645,0.8443577154463597,0.8113554465702723,0.6149916278488315,0.0005922134928048051,0.30180333313826746
incoming_call_count,next_week,evening,0.5425543823080923,0.8393659967085431,0.8455746711213963,0.8443577154463597,0.8113554465702723,0.63732010159794,0.0012169556750365462,0.30180333313826746
incoming_call_count,next_week,morning,0.5425543823080923,0.8393659967085431,0.8444270780929323,0.8443577154463597,0.8113554465702723,0.572148075058994,6.936264657253499e-05,0.30180333313826746
incoming_call_count,tomorrow,afternoon,0.5191229193775754,0.7424757458387552,0.7451363897699342,0.7435666747993928,0.7182833566019664,0.5951927117219693,0.0015697149705414803,0.22444375542181738
incoming_call_count,tomorrow,evening,0.5191229193775754,0.7424757458387552,0.7469126703354299,0.7435666747993928,0.7182833566019664,0.6196377661208705,0.003345995536037094,0.22444375542181738
incoming_call_count,tomorrow,morning,0.5191229193775754,0.7424757458387552,0.7442962904603123,0.7435666747993928,0.7182833566019664,0.5601018341556423,0.0007296156609195581,0.22444375542181738
location_distance,next_week,afternoon,0.48839546033039477,0.7695400419920946,0.7728234809628172,0.7728234809628172,0.7391913345578289,0.48839546033039477,0.0,0.2844280206324224
location_distance,next_week,evening,0.48839546033039477,0.7695400419920946,0.7728234809628172,0.7728234809628172,0.7391913345578289,0.48839546033039477,0.0,0.2844280206324224
location_distance,next_week,morning,0.48839546033039477,0.7695400419920946,0.7728234809628172,0.7728234809628172,0.7391913345578289,0.48839546033039477,0.0,0.2844280206324224
location_distance,tomorrow,afternoon,0.524795221931001,0.6985575820975707,0.6993848161157867,0.6993848161157867,0.626912652713365,0.524795221931001,0.0,0.1745895941847857
location_distance,tomorrow,evening,0.524795221931001,0.6985575820975707,0.6993848161157867,0.6993848161157867,0.626912652713365,0.524795221931001,0.0,0.1745895941847857
location_distance,tomorrow,morning,0.524795221931001,0.6985575820975707,0.6993848161157867,0.6993848161157867,0.626912652713365,0.524795221931001,0.0,0.1745895941847857
location_entropy,next_week,afternoon,0.59847498110121,0.8036329395670379,0.8063657931348969,0.803293259413147,0.7768163867727287,0.6741175676288909,0.0030725337217498705,0.204818278311937
location_entropy,next_week,evening,0.59847498110121,0.8036329395670379,0.8093785867578973,0.803293259413147,0.7768163867727287,0.6859532461092841,0.006085327344750313,0.204818278311937
