target,horizon,issue_time,calendar_only,fingerprint_42d_only,history_fingerprint_plus_today,history_plus_fingerprint,recent_history_only,today_partial_only,lift_today_over_history_fingerprint,lift_history_fingerprint_over_calendar
active_duration,next_week,afternoon,-0.05663632191067647,0.6342341970501543,0.6431824460735996,0.6405211162762214,0.6107503625441303,0.21217291859019916,0.002661329797378209,0.6971574381868979
active_duration,next_week,evening,-0.05663632191067647,0.6342341970501543,0.6451876388920901,0.6405211162762214,0.6107503625441303,0.3049088089122496,0.00466652261586864,0.6971574381868979
active_duration,next_week,morning,-0.05663632191067647,0.6342341970501543,0.6415040947418004,0.6405211162762214,0.6107503625441303,0.10021102498622425,0.000982978465578932,0.6971574381868979
active_duration,tomorrow,afternoon,-0.004126803919803468,0.25409095144024907,0.26033345721183954,0.25637009164469426,0.2409196419284242,0.11390682580449529,0.003963365567145272,0.26049689556449773
active_duration,tomorrow,evening,-0.004126803919803468,0.25409095144024907,0.26520105174055253,0.25637009164469426,0.2409196419284242,0.1596138388701962,0.008830960095858265,0.26049689556449773
active_duration,tomorrow,morning,-0.004126803919803468,0.25409095144024907,0.25742976148024843,0.25637009164469426,0.2409196419284242,0.06577831561115688,0.0010596698355541667,0.26049689556449773
bluetooth_unique_devices,next_week,afternoon,-0.0011832687004995623,0.629595471619745,0.6302328520791375,0.6304187243968495,0.6124292480034434,0.4473812824841361,-0.0001858723177120547,0.6316019930973491
bluetooth_unique_devices,next_week,evening,-0.0011832687004995623,0.629595471619745,0.6328112385650028,0.6304187243968495,0.6124292480034434,0.4987101349806231,0.002392514168153226,0.6316019930973491
bluetooth_unique_devices,next_week,morning,-0.0011832687004995623,0.629595471619745,0.6304091178078941,0.6304187243968495,0.6124292480034434,0.39385852869989346,-9.606588955435313e-06,0.6316019930973491
bluetooth_unique_devices,tomorrow,afternoon,-0.0018359457848884375,0.5453572467874437,0.5512158343666022,0.5498548199983613,0.5442914165813106,0.41563487855897296,0.001361014368240876,0.5516907657832497
bluetooth_unique_devices,tomorrow,evening,-0.0018359457848884375,0.5453572467874437,0.5608421593096145,0.5498548199983613,0.5442914165813106,0.4786010641562709,0.010987339311253175,0.5516907657832497
bluetooth_unique_devices,tomorrow,morning,-0.0018359457848884375,0.5453572467874437,0.5509483397436461,0.5498548199983613,0.5442914165813106,0.3656795346133209,0.001093519745284821,0.5516907657832497
incoming_call_count,next_week,afternoon,-0.005282955666431999,0.5104525541432898,0.527256724450017,0.5236805753932576,0.45624545331826694,0.10446082025708558,0.0035761490567594034,0.5289635310596896
incoming_call_count,next_week,evening,-0.005282955666431999,0.5104525541432898,0.5295404983100065,0.5236805753932576,0.45624545331826694,0.15996174767625393,0.005859922916748861,0.5289635310596896
incoming_call_count,next_week,morning,-0.005282955666431999,0.5104525541432898,0.5260261072547205,0.5236805753932576,0.45624545331826694,0.0397876340819584,0.002345531861462913,0.5289635310596896
incoming_call_count,tomorrow,afternoon,0.0004935775234724549,0.24608566991517278,0.2560562747000563,0.2521517657721146,0.21877879949431678,0.06304222468629139,0.0039045089279416967,0.25165818824864217
incoming_call_count,tomorrow,evening,0.0004935775234724549,0.24608566991517278,0.25932597945963864,0.2521517657721146,0.21877879949431678,0.09683181800777174,0.0071742136875240226,0.25165818824864217
incoming_call_count,tomorrow,morning,0.0004935775234724549,0.24608566991517278,0.25414141628319875,0.2521517657721146,0.21877879949431678,0.027173362218626762,0.001989650511084129,0.25165818824864217
location_distance,next_week,afternoon,-0.016475828694693773,0.04740458147187021,-0.1433210091907342,-0.1433210091907342,-0.23305517146126142,-0.016475828694693773,0.0,-0.12684518049604043
location_distance,next_week,evening,-0.016475828694693773,0.04740458147187021,-0.1433210091907342,-0.1433210091907342,-0.23305517146126142,-0.016475828694693773,0.0,-0.12684518049604043
location_distance,next_week,morning,-0.016475828694693773,0.04740458147187021,-0.1433210091907342,-0.1433210091907342,-0.23305517146126142,-0.016475828694693773,0.0,-0.12684518049604043
location_distance,tomorrow,afternoon,-0.02127064130495393,0.00025744710358932554,-0.11312335138103968,-0.11312335138103968,-0.15446959931564663,-0.02127064130495393,0.0,-0.09185271007608575
location_distance,tomorrow,evening,-0.02127064130495393,0.00025744710358932554,-0.11312335138103968,-0.11312335138103968,-0.15446959931564663,-0.02127064130495393,0.0,-0.09185271007608575
location_distance,tomorrow,morning,-0.02127064130495393,0.00025744710358932554,-0.11312335138103968,-0.11312335138103968,-0.15446959931564663,-0.02127064130495393,0.0,-0.09185271007608575
location_entropy,next_week,afternoon,0.0062307229730906855,0.3618762315157775,0.3731746419855756,0.36215254551796316,0.29187779447652773,0.12937132774431093,0.01102209646761243,0.3559218225448725
location_entropy,next_week,evening,0.0062307229730906855,0.3618762315157775,0.38465146850953835,0.36215254551796316,0.29187779447652773,0.17616138089053135,0.022498922991575188,0.3559218225448725
