regime,target_name,half,model,n_train_rows,n_train_trajectories,coefficient_l2_norm
expanding_refit,significant_places,early,history,16202,693,0.4065612212033551
expanding_refit,significant_places,early,calendar,16202,693,0.26010401735793287
expanding_refit,significant_places,late,history,20971,693,0.3881170068413844
expanding_refit,significant_places,late,calendar,20971,693,0.22237184607712018
disjoint_refit,significant_places,early,history,8550,693,0.4036565812438987
disjoint_refit,significant_places,early,calendar,8550,693,0.2466113405359131
disjoint_refit,significant_places,late,history,8770,693,0.35975046217705475
disjoint_refit,significant_places,late,calendar,8770,693,0.16807503178263247
expanding_refit,sleep_duration,early,history,11912,633,0.13271585801842725
expanding_refit,sleep_duration,early,calendar,11912,633,0.04515441586137966
expanding_refit,sleep_duration,late,history,15529,640,0.13036497220202903
expanding_refit,sleep_duration,late,calendar,15529,640,0.04481665953661582
disjoint_refit,sleep_duration,early,history,6280,628,0.14105386318005458
disjoint_refit,sleep_duration,early,calendar,6280,628,0.0718163104646902
disjoint_refit,sleep_duration,late,history,6422,628,0.12501282405544553
disjoint_refit,sleep_duration,late,calendar,6422,628,0.05151065051957319
expanding_refit,sleep_efficiency,early,history,11762,633,0.037391359307933004
expanding_refit,sleep_efficiency,early,calendar,11762,633,0.0028119532472522975
expanding_refit,sleep_efficiency,late,history,15336,640,0.03440303241327118
expanding_refit,sleep_efficiency,late,calendar,15336,640,0.0027774382866723665
disjoint_refit,sleep_efficiency,early,history,6203,628,0.037654691693976054
disjoint_refit,sleep_efficiency,early,calendar,6203,628,0.002063959259728255
disjoint_refit,sleep_efficiency,late,history,6336,628,0.03207822996707166
disjoint_refit,sleep_efficiency,late,calendar,6336,628,0.005282227621041581
expanding_refit,sleep_in_bed,early,history,11912,633,0.12422898698901655
expanding_refit,sleep_in_bed,early,calendar,11912,633,0.04363383248582265
expanding_refit,sleep_in_bed,late,history,15529,640,0.12177626596854095
expanding_refit,sleep_in_bed,late,calendar,15529,640,0.04310710027250566
disjoint_refit,sleep_in_bed,early,history,6280,628,0.1309676868111569
disjoint_refit,sleep_in_bed,early,calendar,6280,628,0.07166062352308183
disjoint_refit,sleep_in_bed,late,history,6422,628,0.11818735050318346
disjoint_refit,sleep_in_bed,late,calendar,6422,628,0.04818734252818628
expanding_refit,steps_sum,early,history,13104,646,0.5188363425269363
expanding_refit,steps_sum,early,calendar,13104,646,0.1515029940033396
expanding_refit,steps_sum,late,history,17007,646,0.5189283729296853
expanding_refit,steps_sum,late,calendar,17007,646,0.13717157267483515
disjoint_refit,steps_sum,early,history,6864,643,0.5010820268531848
disjoint_refit,steps_sum,early,calendar,6864,643,0.22034393205631703
disjoint_refit,steps_sum,late,history,7154,643,0.5496823428371473
disjoint_refit,steps_sum,late,calendar,7154,643,0.19533282287801518
expanding_refit,wifi_unique_devices,early,history,9527,394,0.44932197646225025
expanding_refit,wifi_unique_devices,early,calendar,9527,394,0.061000432430268814
expanding_refit,wifi_unique_devices,late,history,12307,394,0.4242103341257893
expanding_refit,wifi_unique_devices,late,calendar,12307,394,0.05457415157954667
disjoint_refit,wifi_unique_devices,early,history,5033,394,0.5442451427652643
disjoint_refit,wifi_unique_devices,early,calendar,5033,394,0.05294960786431611
disjoint_refit,wifi_unique_devices,late,history,5197,394,0.48176172441179277
disjoint_refit,wifi_unique_devices,late,calendar,5197,394,0.11887728167119961
