regime,scope,measure,sample,n_trajectories,same_person_mean,matched_cross_person_mean,delta,permutation_p,n_permutations
disjoint_refit,rich,forecastability_residual_sd_entropy,all_trajectories,575,0.1836889908288879,0.0075318698185841285,0.17615712101030376,0.001996007984031936,500
disjoint_refit,rich,forecastability_residual_sd_entropy,known_single_year_only,262,0.16841825379720987,0.010211143572230285,0.15820711022497957,0.001996007984031936,500
disjoint_refit,rich,history_skill,all_trajectories,575,0.372154621090421,0.042084838031789716,0.3300697830586313,0.001996007984031936,500
disjoint_refit,rich,history_skill,known_single_year_only,262,0.35469717245681476,0.04043203919954713,0.3142651332572676,0.001996007984031936,500
disjoint_refit,rich,history_skill_residual_sd,all_trajectories,575,0.3375317758726681,0.004506315118352722,0.3330254607543154,0.001996007984031936,500
disjoint_refit,rich,history_skill_residual_sd,known_single_year_only,262,0.32461124319660134,0.009183357787820944,0.3154278854087804,0.001996007984031936,500
disjoint_refit,rich,history_skill_residual_sd_entropy,all_trajectories,575,0.29201686448122244,0.0050201760802446906,0.28699668840097775,0.001996007984031936,500
disjoint_refit,rich,history_skill_residual_sd_entropy,known_single_year_only,262,0.2857334886509891,0.012756953817769109,0.27297653483322,0.001996007984031936,500
expanding_refit,core,forecastability,all_trajectories,521,0.34912408988845756,0.0686540888825455,0.2804700010059121,9.999000099990002e-05,10000
expanding_refit,core,forecastability,known_single_year_only,232,0.3228295987254441,0.05367376001418217,0.2691558387112619,0.001996007984031936,500
expanding_refit,core,forecastability_residual_sd,all_trajectories,521,0.1939233046463754,0.019899128514232367,0.17402417613214302,0.001996007984031936,500
expanding_refit,core,forecastability_residual_sd,known_single_year_only,232,0.1612280978351077,0.019838246328195357,0.14138985150691233,0.001996007984031936,500
expanding_refit,core,forecastability_residual_sd_entropy,all_trajectories,521,0.18378541259379172,0.01256006039381081,0.17122535219998092,9.999000099990002e-05,10000
expanding_refit,core,forecastability_residual_sd_entropy,known_single_year_only,232,0.1532464742984276,0.013417823002775647,0.13982865129565197,0.001996007984031936,500
expanding_refit,core,history_skill,all_trajectories,521,0.48618479061130837,0.031992928680545166,0.4541918619307632,0.001996007984031936,500
expanding_refit,core,history_skill,known_single_year_only,232,0.48213739164057046,0.04441856236393261,0.43771882927663786,0.001996007984031936,500
expanding_refit,core,history_skill_residual_sd,all_trajectories,521,0.4556691511930019,0.0045548983100926746,0.45111425288290924,0.001996007984031936,500
expanding_refit,core,history_skill_residual_sd,known_single_year_only,232,0.4427523828582439,0.013792964988761782,0.42895941786948216,0.001996007984031936,500
expanding_refit,core,history_skill_residual_sd_entropy,all_trajectories,521,0.36878329102782104,0.009112494373173161,0.35967079665464785,9.999000099990002e-05,10000
expanding_refit,core,history_skill_residual_sd_entropy,known_single_year_only,232,0.3505029921136477,0.017955344624118866,0.33254764748952886,0.001996007984031936,500
expanding_refit,rich,forecastability,all_trajectories,592,0.40596954017112596,0.07672786161339806,0.3292416785577279,0.001996007984031936,500
expanding_refit,rich,forecastability,known_single_year_only,273,0.3671180628505878,0.06138830601856116,0.30572975683202663,0.001996007984031936,500
expanding_refit,rich,forecastability_residual_sd,all_trajectories,592,0.25039843790910615,0.011982338795857408,0.23841609911324874,0.001996007984031936,500
expanding_refit,rich,forecastability_residual_sd,known_single_year_only,273,0.2101369264457799,0.012240886826322551,0.19789603961945734,0.001996007984031936,500
expanding_refit,rich,forecastability_residual_sd_entropy,all_trajectories,592,0.21489987343328537,0.005893957818421029,0.20900591561486434,0.001996007984031936,500
