regime,scope,analysis,measure,n_trajectories,pearson_r,ci_low,ci_high
expanding_refit,core,residual_variability_entropy,forecastability,521,0.2387928582396491,0.055806443584203766,0.4094623666085155
expanding_refit,core,residual_variability,history_skill,521,0.4378392409689227,0.3640424062738532,0.5105045548043314
expanding_refit,core,residual_entropy,history_skill,521,0.3403773624580555,0.26173481217314665,0.4267861950782633
expanding_refit,core,residual_variability_entropy,history_skill,521,0.3174893227036792,0.23702835755486068,0.41047574998800257
expanding_refit,rich,pooled,forecastability,592,0.4019303271910146,0.3270686401289683,0.4805720306116144
expanding_refit,rich,pooled,history_skill,592,0.46646250222775404,0.38620659744832586,0.5388416480148768
expanding_refit,rich,pooled,variability,592,0.27373611133023207,0.19618447355463808,0.34839523951175855
expanding_refit,rich,pooled,entropy,592,0.5057308487507052,0.4464608137332973,0.5651952628137898
expanding_refit,rich,cohort_fixed_effect_residual,forecastability,592,0.4132039940380822,0.33165596579161777,0.48699011280613647
expanding_refit,rich,residual_variability,forecastability,592,0.24938507525685283,0.1451369517261461,0.351354955690241
expanding_refit,rich,residual_entropy,forecastability,592,0.42233828244299665,0.3440335289268132,0.4996564097734295
expanding_refit,rich,residual_variability_entropy,forecastability,592,0.19598739700285203,0.10032537484807037,0.29064870202466947
expanding_refit,rich,residual_variability,history_skill,592,0.35795739248825303,0.2744838757153383,0.4433080479243641
expanding_refit,rich,residual_entropy,history_skill,592,0.2992611363702095,0.21805154968023413,0.38417584956001194
expanding_refit,rich,residual_variability_entropy,history_skill,592,0.2796987513784601,0.1917157041025245,0.3613797574097187
fixed_original,core,pooled,forecastability,521,0.41249854536268143,0.31942857681163367,0.5073610496603077
fixed_original,core,pooled,history_skill,521,0.4837177564638716,0.405099237616472,0.5559170759287138
fixed_original,core,pooled,variability,521,0.28735627922919194,0.1785782582976172,0.3830886889658727
fixed_original,core,pooled,entropy,521,0.411827415208927,0.3341865004121637,0.4799787297876539
fixed_original,core,cohort_fixed_effect_residual,forecastability,521,0.4237964924502441,0.3342952741445646,0.510615619004387
fixed_original,core,residual_variability,forecastability,521,0.25183948645215554,0.056515201731979,0.42714654544566405
fixed_original,core,residual_entropy,forecastability,521,0.4299980284015741,0.33878645853803585,0.5229461831494246
