test,scope,measure,n_users,pearson_r,bootstrap_ci_low,bootstrap_ci_high,same_user_mean,matched_cross_user_mean,delta,permutation_p
composite_split_half,core,forecastability,521,0.4124985453626814,0.31594802344757117,0.5010843302276144,,,,
profile_cosine,core,forecastability_raw_z,521,,,,0.34953662936169755,0.06217923759396876,0.2873573917677288,0.001996007984031936
composite_split_half,core,history_skill,521,0.4837177564638716,0.4061030089393852,0.5573530238376346,,,,
profile_cosine,core,history_skill_z,521,,,,0.4891572116687441,0.034783906534219526,0.45437330513452456,0.001996007984031936
composite_split_half,rich,forecastability,592,0.4110333539786456,0.3355113330511892,0.4804055516604584,,,,
profile_cosine,rich,forecastability_raw_z,592,,,,0.40455690803174194,0.07425743744107252,0.33029947059066944,0.001996007984031936
composite_split_half,rich,history_skill,592,0.4607776294433337,0.3706497677845079,0.5341506108450916,,,,
profile_cosine,rich,history_skill_z,592,,,,0.4799396999012018,0.046137703382232956,0.43380199651896884,0.001996007984031936
