control_set,construct,target,n,partial_r,p_fisher,bootstrap_ci_low,bootstrap_ci_high,q_fdr_all,bonferroni_p_all,max_stat_permutation_p
level_controlled,rich_forecastability,baseline_loneliness,512,-0.09450803910626175,0.032469626592048245,-0.17741957464191618,-0.009886149339041967,0.05347938497513829,0.9091495445773509,0.500998003992016
level_controlled,core_forecastability,baseline_conscientiousness,511,0.06151136642298533,0.16509188706982023,-0.028020623334845455,0.14912843014926938,0.25680960210860926,1.0,0.9780439121756487
level_controlled,core_history_skill,baseline_social_fit,510,0.05150333256919628,0.24575982194511797,-0.032285421972359125,0.13253071373176475,0.36217236918227913,1.0,1.0
level_controlled,core_forecastability,baseline_extraversion,511,-0.04800677809222873,0.2788749182675163,-0.13794730065644678,0.04346582410405822,0.3904248855745228,1.0,1.0
level_controlled,rich_forecastability,baseline_conscientiousness,511,0.041698362080675365,0.34702337845013215,-0.04562102950335454,0.1273895563993437,0.4626978379335095,1.0,1.0
level_controlled,rich_history_skill,baseline_loneliness,512,-0.03811469769003913,0.3896107189025965,-0.1268703374955919,0.04895323243512338,0.46512506163683226,1.0,1.0
level_controlled,core_history_skill,baseline_extraversion,511,0.03782721384547703,0.39366534721326374,-0.04135655315158476,0.11654491507608183,0.46512506163683226,1.0,1.0
level_controlled,rich_forecastability,baseline_social_fit,510,-0.037465079437291215,0.39867862426014194,-0.11990112217293471,0.04148568907114267,0.46512506163683226,1.0,1.0
level_controlled,core_forecastability,baseline_social_fit,510,-0.015140296793960808,0.7331525342463783,-0.0988899722064199,0.06578960995827923,0.8211308383559437,1.0,1.0
level_controlled,rich_history_skill,baseline_extraversion,511,0.007036085585118441,0.8739935371457854,-0.0726229624429045,0.08814354492412169,0.9412238092339228,1.0,1.0
level_controlled,rich_forecastability,baseline_extraversion,511,0.0005681005785479432,0.9897838954480562,-0.09281558987658271,0.08673719303483635,0.9988736935928467,1.0,1.0
level_controlled,rich_history_skill,baseline_social_fit,510,-6.269207683338559e-05,0.9988736935928467,-0.08504040089822706,0.0805546377871702,0.9988736935928467,1.0,1.0
level_variability_controlled,core_forecastability,baseline_depression,512,-0.16874318918950784,0.0001211516096909173,-0.2449822938899017,-0.09326445931017341,0.0020173430449759743,0.0033922450713456845,0.005988023952095809
level_variability_controlled,core_history_skill,baseline_depression,512,-0.16690151531376296,0.00014409593178399817,-0.24173630109500835,-0.07595187701941743,0.0020173430449759743,0.004034686089951949,0.007984031936127744
level_variability_controlled,core_forecastability,baseline_stress,512,-0.15809485651548794,0.000321967471789704,-0.23918266335356528,-0.0736349027454783,0.0030050297367039043,0.009015089210111713,0.011976047904191617
level_variability_controlled,core_history_skill,baseline_anxiety,510,-0.15399847936240804,0.00047345874303970936,-0.2343239681991694,-0.07277123242988774,0.0030495876438907344,0.013256844805111863,0.015968063872255488
level_variability_controlled,core_forecastability,baseline_anxiety,510,-0.1523711834314976,0.0005445692221233454,-0.23218883447162367,-0.06774213791578292,0.0030495876438907344,0.015247938219453671,0.017964071856287425
level_variability_controlled,core_forecastability,baseline_loneliness,512,-0.1424493502375812,0.0012129794060466409,-0.22717677101465164,-0.06678902530633382,0.005660570561550991,0.033963423369305946,0.03792415169660679
level_variability_controlled,core_history_skill,baseline_stress,512,-0.11925241425055695,0.006865044840307219,-0.2010148724113482,-0.030979252296311533,0.027460179361228874,0.19222125552860211,0.15169660678642716
level_variability_controlled,rich_forecastability,baseline_loneliness,512,-0.11378160924989619,0.009931799874496362,-0.19685860326616939,-0.03865023215993771,0.03476129956073727,0.2780903964858982,0.20159680638722555
level_variability_controlled,rich_history_skill,baseline_conscientiousness,511,0.11169658326359376,0.01146941567083568,0.02483527956075136,0.2027483765251072,0.035682626531488786,0.3211436387833991,0.22355289421157684
level_variability_controlled,rich_forecastability,baseline_anxiety,510,-0.10892819980915205,0.01379838466197508,-0.18780008068156853,-0.03221291316556516,0.03863547705353022,0.3863547705353022,0.2634730538922156
level_variability_controlled,core_history_skill,baseline_loneliness,512,-0.10546115900804498,0.01693147149547695,-0.18568951259090413,-0.019757048529653185,0.0430507387503916,0.4740812018733546,0.3033932135728543
level_variability_controlled,core_history_skill,baseline_conscientiousness,511,0.10360437805810609,0.01910205773773985,0.018555424224970682,0.18586439290028567,0.0430507387503916,0.5348576166567158,0.3273453093812375
level_variability_controlled,rich_forecastability,baseline_depression,512,-0.10239838886549286,0.020430922805238946,-0.18768215642790406,-0.021192291982086883,0.0430507387503916,0.5720658385466905,0.34331337325349304
level_variability_controlled,rich_history_skill,baseline_anxiety,510,-0.10173304115419732,0.0215253693751958,-0.18738931387698635,-0.012193162824803242,0.0430507387503916,0.6027103425054824,0.35129740518962077
