horizon,metric,n_targets,mean,median,q1,q3,minimum,maximum
tomorrow,r2,16,0.2716253862926227,0.26007497444366356,0.225497820456772,0.32320314994608723,-0.1131233513810396,0.6372528012307623
tomorrow,auroc,16,0.7875470015786898,0.7946617978272428,0.7301945197417188,0.8297738548100078,0.6993848161157867,0.8840448485837702
next_week,r2,16,0.5060462285474765,0.5793922460528741,0.40760777861021036,0.6571377815896103,-0.1433210091907342,0.8238185106677793
next_week,auroc,16,0.8707346694083162,0.8747741839224963,0.8292187969994845,0.9203220264972962,0.7728234809628172,0.9395444305518844
