horizon,metric,model,n_targets,mean,median,q1,q3,minimum,maximum
tomorrow,r2,calendar_only,16,-0.006882256339506206,-0.00289867629008695,-0.012862104463154025,-0.00147933007011505,-0.0264204013988771,0.0048137255135926
tomorrow,auroc,calendar_only,16,0.5435582320042609,0.5430825761707903,0.5220618292786436,0.5544893111903733,0.4891482501929476,0.6405423417991057
tomorrow,r2,recent_history_only,16,0.24358770997503265,0.2448756970613754,0.15724432384154735,0.2923529766410892,-0.1544695993156466,0.6391436214159086
tomorrow,auroc,recent_history_only,16,0.7668640889413182,0.7824965762626896,0.6967744087084999,0.820604122470121,0.626912652713365,0.8758252580577206
tomorrow,r2,fingerprint_42d_only,16,0.2517107110349298,0.24096694595597473,0.15307639065518627,0.3009492594876566,0.0002574471035893,0.6277086705777197
tomorrow,auroc,fingerprint_42d_only,16,0.7769515684125008,0.7830899082415854,0.70739550079778,0.8199651402145162,0.6985575820975707,0.881329436135103
tomorrow,r2,history_plus_fingerprint,16,0.2588134058122218,0.25647096387450435,0.17480122776315454,0.3133937066485653,-0.1131233513810396,0.6372528012307623
tomorrow,auroc,history_plus_fingerprint,16,0.7819240187220082,0.793518891071293,0.7088578609533905,0.8263426561442381,0.6993848161157867,0.882309499566978
tomorrow,r2,history_fingerprint_plus_today,16,0.2716253862926227,0.26007497444366356,0.225497820456772,0.32320314994608723,-0.1131233513810396,0.6372528012307623
tomorrow,auroc,history_fingerprint_plus_today,16,0.7875470015786898,0.7946617978272428,0.7301945197417188,0.8297738548100078,0.6993848161157867,0.8840448485837702
next_week,r2,calendar_only,16,-0.0183746830623121,-0.012418370246995752,-0.027974383632412725,-0.001147819710708825,-0.0774067913143359,0.019326959821651
next_week,auroc,calendar_only,16,0.5514165199345726,0.5310594552668262,0.5124077057703156,0.5986661520316643,0.4869013077926414,0.687695065532713
next_week,r2,recent_history_only,16,0.46131945897575555,0.5293803605491516,0.3421152316556966,0.6267999814797962,-0.2330551714612614,0.8273467447900185
next_week,auroc,recent_history_only,16,0.851253364982979,0.852584553448377,0.8017081562343258,0.9113275710346057,0.7391913345578289,0.9308623392723466
next_week,r2,fingerprint_42d_only,16,0.5026871510565414,0.562217540380082,0.4032257442124808,0.6382697583834908,0.0474045814718702,0.8115237035028147
next_week,auroc,fingerprint_42d_only,16,0.8670637663477192,0.8707240910777085,0.825615631388042,0.9123683974144967,0.7695400419920946,0.9471128160953622
next_week,r2,history_plus_fingerprint,16,0.5009151494595345,0.5772417638852796,0.40198304786231653,0.6486773689800921,-0.1433210091907342,0.8238185106677793
next_week,auroc,history_plus_fingerprint,16,0.8690583167330117,0.8736816008286333,0.8254798132282299,0.9184284327610882,0.7728234809628172,0.936234738916499
next_week,r2,history_fingerprint_plus_today,16,0.5060462285474765,0.5793922460528741,0.40760777861021036,0.6571377815896103,-0.1433210091907342,0.8238185106677793
next_week,auroc,history_fingerprint_plus_today,16,0.8707346694083162,0.8747741839224963,0.8292187969994845,0.9203220264972962,0.7728234809628172,0.9395444305518844
