target,next_week_r2,tomorrow_r2,next_week_auroc,tomorrow_auroc
sleep_efficiency,0.8238185106677793,0.6372528012307623,0.9013149204614036,0.7818824699784752
bluetooth_unique_devices,0.6328112385650028,0.5608421593096145,0.9352997025781512,0.8816326393277626
wifi_unique_devices,0.6940670148202323,0.5201742347678053,0.9352256947687632,0.8657937686896433
screen_unlock_count,0.6560383783416385,0.3554400023141729,0.9395444305518844,0.8840448485837702
outgoing_call_count,0.545740395573441,0.3124575324900587,0.848233447383589,0.7776403312350951
steps_sum,0.660435991333526,0.2987254954038613,0.9251228369651396,0.8287888008607155
active_duration,0.6451876388920901,0.2652010517405525,0.9025007062945668,0.8112703363531372
location_home_time,0.1550541313924501,0.2608239694276886,0.8430907203358933,0.8074411256760103
incoming_call_count,0.5295404983100065,0.2593259794596386,0.8455746711213963,0.7469126703354299
screen_unlock_duration,0.6130440965323072,0.2584224655092912,0.9187217563413485,0.8327290166578847
significant_places,0.4627029275821611,0.2470187510086939,0.8329415407001239,0.7262133670127906
location_entropy,0.3846514685095383,0.2432779263725959,0.8093785867578973,0.7315215706513615
sedentary_duration,0.6680220360063717,0.1721575027093003,0.90174348497683,0.8120689817902672
sleep_duration,0.415259881977101,0.0369198232228292,0.8180505658975663,0.7100616038350256
sleep_in_bed,0.353686457446713,0.0310898370961375,0.8021881644356883,0.7033656781558825
location_distance,-0.1433210091907342,-0.1131233513810396,0.7728234809628172,0.6993848161157867
